"figure","country","year","predicted_stage","indicator","value"
"ED 3","Brazil",2002,"Stage 2","ahdi_int",0.467357214137661
"ED 3","Brazil",2003,"Stage 2","ahdi_int",0.473247013045776
"ED 3","Brazil",2004,"Stage 2","ahdi_int",0.479136811953892
"ED 3","Brazil",2005,"Stage 2","ahdi_int",0.485026610862007
"ED 3","Brazil",2006,"Stage 2","ahdi_int",0.488563100179924
"ED 3","Brazil",2007,"Stage 2","ahdi_int",0.492099589497842
"ED 3","Brazil",2008,"Stage 2","ahdi_int",0.495636078815759
"ED 3","Brazil",2009,"Stage 2","ahdi_int",0.499172568133677
"ED 3","Brazil",2010,"Stage 2","ahdi_int",0.502709057451594
"ED 3","Brazil",2011,"Stage 2","ahdi_int",0.502438270370884
"ED 3","Brazil",2012,"Stage 2","ahdi_int",0.502167483290173
"ED 3","Brazil",2013,"Stage 2","ahdi_int",0.501896696209463
"ED 3","Brazil",2014,"Stage 2","ahdi_int",0.501625909128752
"ED 3","Brazil",2015,"Stage 2","ahdi_int",0.501355122048042
"ED 3","Brazil",2016,"Stage 2","ahdi_int",0.491809879206404
"ED 3","Brazil",2017,"Stage 2","ahdi_int",0.482264636364766
"ED 3","Brazil",2018,"Stage 2","ahdi_int",0.472719393523129
"ED 3","Brazil",2019,"Stage 2","ahdi_int",0.463174150681491
"ED 3","Brunei",2000,"Stage 2","ahdi_int",0.342295010666024
"ED 3","Brunei",2001,"Stage 2","ahdi_int",0.347964911519333
"ED 3","Brunei",2002,"Stage 2","ahdi_int",0.353634812372643
"ED 3","Brunei",2003,"Stage 2","ahdi_int",0.359304713225952
"ED 3","Brunei",2004,"Stage 2","ahdi_int",0.364974614079262
"ED 3","Brunei",2005,"Stage 2","ahdi_int",0.370644514932571
"ED 3","Brunei",2006,"Stage 2","ahdi_int",0.372327665879847
"ED 3","Brunei",2007,"Stage 2","ahdi_int",0.374010816827123
"ED 3","Brunei",2008,"Stage 2","ahdi_int",0.3756939677744
"ED 3","Brunei",2009,"Stage 2","ahdi_int",0.377377118721676
"ED 3","Brunei",2010,"Stage 2","ahdi_int",0.379060269668952
"ED 3","Brunei",2011,"Stage 2","ahdi_int",0.378295835510918
"ED 3","Brunei",2012,"Stage 2","ahdi_int",0.377531401352883
"ED 3","Brunei",2013,"Stage 2","ahdi_int",0.376766967194849
"ED 3","Brunei",2014,"Stage 2","ahdi_int",0.376002533036814
"ED 3","Brunei",2015,"Stage 2","ahdi_int",0.37523809887878
"ED 3","Brunei",2016,"Stage 2","ahdi_int",0.383821113070017
"ED 3","Brunei",2017,"Stage 2","ahdi_int",0.392404127261253
"ED 3","Brunei",2018,"Stage 2","ahdi_int",0.40098714145249
"ED 3","Brunei",2019,"Stage 2","ahdi_int",0.409570155643726
"ED 3","Canada",1960,"Stage 2","ahdi_int",0.513022290079729
"ED 3","Canada",1961,"Stage 2","ahdi_int",0.516871109305388
"ED 3","Canada",1962,"Stage 2","ahdi_int",0.520719928531048
"ED 3","Canada",1963,"Stage 2","ahdi_int",0.524568747756707
"ED 3","Canada",1964,"Stage 2","ahdi_int",0.528417566982367
"ED 3","Canada",1965,"Stage 2","ahdi_int",0.532266386208026
"ED 3","Canada",1966,"Stage 2","ahdi_int",0.535634113208196
"ED 3","Canada",1967,"Stage 2","ahdi_int",0.539001840208366
"ED 3","Canada",1968,"Stage 2","ahdi_int",0.542369567208535
"ED 3","Canada",1969,"Stage 2","ahdi_int",0.545737294208705
"ED 3","Canada",1970,"Stage 2","ahdi_int",0.549105021208875
"ED 3","Canada",1971,"Stage 2","ahdi_int",0.555120058343339
"ED 3","Canada",1972,"Stage 2","ahdi_int",0.561135095477803
"ED 3","Canada",1973,"Stage 2","ahdi_int",0.567150132612268
"ED 3","Canada",1974,"Stage 2","ahdi_int",0.573165169746732
"ED 3","Canada",1975,"Stage 2","ahdi_int",0.579180206881196
"ED 3","Canada",1976,"Stage 2","ahdi_int",0.585940832005761
"ED 3","Canada",1977,"Stage 2","ahdi_int",0.592701457130326
"ED 3","Canada",1978,"Stage 2","ahdi_int",0.599462082254891
"ED 3","Canada",1979,"Stage 2","ahdi_int",0.606222707379456
"ED 3","Canada",1980,"Stage 3","ahdi_int",0.612983332504021
"ED 3","Canada",1981,"Stage 3","ahdi_int",0.616983931718307
"ED 3","Canada",1982,"Stage 3","ahdi_int",0.620984530932593
"ED 3","Canada",1983,"Stage 3","ahdi_int",0.62498513014688
"ED 3","Canada",1984,"Stage 3","ahdi_int",0.628985729361166
"ED 3","Canada",1985,"Stage 3","ahdi_int",0.632986328575452
"ED 3","Canada",1986,"Stage 3","ahdi_int",0.640924992379526
"ED 3","Canada",1987,"Stage 3","ahdi_int",0.6488636561836
"ED 3","Canada",1988,"Stage 3","ahdi_int",0.656802319987673
"ED 3","Canada",1989,"Stage 3","ahdi_int",0.664740983791747
"ED 3","Canada",1990,"Stage 3","ahdi_int",0.672679647595821
"ED 3","Canada",1991,"Stage 3","ahdi_int",0.677276607665024
"ED 3","Canada",1992,"Stage 3","ahdi_int",0.681873567734227
"ED 3","Canada",1993,"Stage 3","ahdi_int",0.68647052780343
"ED 3","Canada",1994,"Stage 3","ahdi_int",0.691067487872633
"ED 3","Canada",1995,"Stage 3","ahdi_int",0.695664447941836
"ED 3","Canada",1996,"Stage 3","ahdi_int",0.70164590671539
"ED 3","Canada",1997,"Stage 3","ahdi_int",0.707627365488945
"ED 3","Canada",1998,"Stage 3","ahdi_int",0.713608824262499
"ED 3","Canada",1999,"Stage 3","ahdi_int",0.719590283036054
"ED 3","Canada",2000,"Stage 3","ahdi_int",0.725571741809608
"ED 3","Canada",2001,"Stage 3","ahdi_int",0.733654926304127
"ED 3","Canada",2002,"Stage 3","ahdi_int",0.741738110798646
"ED 3","Canada",2003,"Stage 3","ahdi_int",0.749821295293165
"ED 3","Canada",2004,"Stage 3","ahdi_int",0.757904479787684
"ED 3","Canada",2005,"Stage 3","ahdi_int",0.765987664282203
"ED 3","Canada",2006,"Stage 3","ahdi_int",0.767280988567601
"ED 3","Canada",2007,"Stage 3","ahdi_int",0.768574312852999
"ED 3","Canada",2008,"Stage 3","ahdi_int",0.769867637138398
"ED 3","Canada",2009,"Stage 3","ahdi_int",0.771160961423796
"ED 3","Canada",2010,"Stage 3","ahdi_int",0.772454285709194
"ED 3","Canada",2011,"Stage 3","ahdi_int",0.774145367479687
"ED 3","Canada",2012,"Stage 3","ahdi_int",0.77583644925018
"ED 3","Canada",2013,"Stage 3","ahdi_int",0.777527531020674
"ED 3","Canada",2014,"Stage 3","ahdi_int",0.779218612791167
"ED 3","Canada",2015,"Stage 3","ahdi_int",0.78090969456166
"ED 3","Canada",2016,"Stage 3","ahdi_int",0.7902378391266
"ED 3","Canada",2017,"Stage 3","ahdi_int",0.799565983691539
"ED 3","Canada",2018,"Stage 3","ahdi_int",0.808894128256479
"ED 3","Canada",2019,"Stage 3","ahdi_int",0.818222272821418
"ED 3","China",1970,"Stage 1","ahdi_int",0.119318011658675
"ED 3","China",1971,"Stage 1","ahdi_int",0.121270324174141
"ED 3","China",1972,"Stage 1","ahdi_int",0.123222636689607
"ED 3","China",1973,"Stage 1","ahdi_int",0.125174949205073
"ED 3","China",1974,"Stage 1","ahdi_int",0.127127261720539
"ED 3","China",1975,"Stage 1","ahdi_int",0.129079574236005
"ED 3","China",1976,"Stage 1","ahdi_int",0.136729988094775
"ED 3","China",1977,"Stage 1","ahdi_int",0.144380401953545
"ED 3","China",1978,"Stage 1","ahdi_int",0.152030815812314
"ED 3","China",1979,"Stage 1","ahdi_int",0.159681229671084
"ED 3","China",1980,"Stage 1","ahdi_int",0.167331643529854
"ED 3","China",1981,"Stage 1","ahdi_int",0.169805995873818
"ED 3","China",1982,"Stage 1","ahdi_int",0.172280348217782
"ED 3","China",1983,"Stage 1","ahdi_int",0.174754700561745
"ED 3","China",1984,"Stage 1","ahdi_int",0.177229052905709
"ED 3","China",1985,"Stage 1","ahdi_int",0.179703405249673
"ED 3","China",1986,"Stage 1","ahdi_int",0.180839474790982
"ED 3","China",1987,"Stage 1","ahdi_int",0.181975544332291
"ED 3","China",1988,"Stage 1","ahdi_int",0.183111613873601
"ED 3","China",1989,"Stage 1","ahdi_int",0.18424768341491
"ED 3","China",1990,"Stage 1","ahdi_int",0.185383752956219
"ED 3","China",1991,"Stage 1","ahdi_int",0.18982829750622
"ED 3","China",1992,"Stage 1","ahdi_int",0.194272842056222
"ED 3","China",1993,"Stage 1","ahdi_int",0.198717386606223
"ED 3","China",1994,"Stage 1","ahdi_int",0.203161931156225
"ED 3","China",1995,"Stage 1","ahdi_int",0.207606475706226
"ED 3","China",1996,"Stage 1","ahdi_int",0.210788716872062
"ED 3","China",1997,"Stage 1","ahdi_int",0.213970958037898
"ED 3","China",1998,"Stage 1","ahdi_int",0.217153199203735
"ED 3","China",1999,"Stage 1","ahdi_int",0.220335440369571
"ED 3","China",2000,"Stage 1","ahdi_int",0.223517681535407
"ED 3","China",2001,"Stage 1","ahdi_int",0.2275224859174
"ED 3","China",2002,"Stage 1","ahdi_int",0.231527290299393
"ED 3","China",2003,"Stage 1","ahdi_int",0.235532094681386
"ED 3","China",2004,"Stage 1","ahdi_int",0.239536899063379
"ED 3","China",2005,"Stage 1","ahdi_int",0.243541703445372
"ED 3","China",2006,"Stage 1","ahdi_int",0.246594316935128
"ED 3","China",2007,"Stage 1","ahdi_int",0.249646930424884
"ED 3","China",2008,"Stage 1","ahdi_int",0.252699543914641
"ED 3","China",2009,"Stage 1","ahdi_int",0.255752157404397
"ED 3","China",2010,"Stage 2","ahdi_int",0.258804770894153
"ED 3","China",2011,"Stage 2","ahdi_int",0.259746493165644
"ED 3","China",2012,"Stage 2","ahdi_int",0.260688215437136
"ED 3","China",2013,"Stage 2","ahdi_int",0.261629937708627
"ED 3","China",2014,"Stage 2","ahdi_int",0.262571659980119
"ED 3","China",2015,"Stage 2","ahdi_int",0.26351338225161
"ED 3","China",2016,"Stage 2","ahdi_int",0.262264388291972
"ED 3","China",2017,"Stage 2","ahdi_int",0.261015394332334
"ED 3","China",2018,"Stage 2","ahdi_int",0.259766400372697
"ED 3","China",2019,"Stage 2","ahdi_int",0.258517406413059
"ED 3","Colombia",2000,"Stage 1","ahdi_int",0.393175861533914
"ED 3","Colombia",2001,"Stage 1","ahdi_int",0.393855880114994
"ED 3","Colombia",2002,"Stage 1","ahdi_int",0.394535898696074
"ED 3","Colombia",2003,"Stage 1","ahdi_int",0.395215917277154
"ED 3","Colombia",2004,"Stage 1","ahdi_int",0.395895935858234
"ED 3","Colombia",2005,"Stage 1","ahdi_int",0.396575954439314
"ED 3","Colombia",2006,"Stage 1","ahdi_int",0.407040159469255
"ED 3","Colombia",2007,"Stage 1","ahdi_int",0.417504364499197
"ED 3","Colombia",2008,"Stage 1","ahdi_int",0.427968569529138
"ED 3","Colombia",2009,"Stage 1","ahdi_int",0.43843277455908
"ED 3","Colombia",2010,"Stage 2","ahdi_int",0.448896979589021
"ED 3","Colombia",2011,"Stage 2","ahdi_int",0.45335442931072
"ED 3","Colombia",2012,"Stage 2","ahdi_int",0.457811879032419
"ED 3","Colombia",2013,"Stage 2","ahdi_int",0.462269328754118
"ED 3","Colombia",2014,"Stage 2","ahdi_int",0.466726778475817
"ED 3","Colombia",2015,"Stage 2","ahdi_int",0.471184228197516
"ED 3","Colombia",2016,"Stage 2","ahdi_int",0.471672015440943
"ED 3","Colombia",2017,"Stage 2","ahdi_int",0.47215980268437
"ED 3","Colombia",2018,"Stage 2","ahdi_int",0.472647589927797
"ED 3","Colombia",2019,"Stage 2","ahdi_int",0.473135377171224
"ED 3","Croatia",1980,"Stage 2","ahdi_int",0.313118945932656
"ED 3","Croatia",1981,"Stage 2","ahdi_int",0.315726020991527
"ED 3","Croatia",1982,"Stage 2","ahdi_int",0.318333096050399
"ED 3","Croatia",1983,"Stage 2","ahdi_int",0.32094017110927
"ED 3","Croatia",1984,"Stage 2","ahdi_int",0.323547246168142
"ED 3","Croatia",1985,"Stage 2","ahdi_int",0.326154321227013
"ED 3","Croatia",1986,"Stage 2","ahdi_int",0.328902006486201
"ED 3","Croatia",1987,"Stage 2","ahdi_int",0.331649691745389
"ED 3","Croatia",1988,"Stage 2","ahdi_int",0.334397377004577
"ED 3","Croatia",1989,"Stage 2","ahdi_int",0.337145062263765
"ED 3","Croatia",1990,"Stage 2","ahdi_int",0.339892747522953
"ED 3","Croatia",1991,"Stage 2","ahdi_int",0.347646870229889
"ED 3","Croatia",1992,"Stage 2","ahdi_int",0.355400992936825
"ED 3","Croatia",1993,"Stage 2","ahdi_int",0.363155115643762
"ED 3","Croatia",1994,"Stage 2","ahdi_int",0.370909238350698
"ED 3","Croatia",1995,"Stage 2","ahdi_int",0.378663361057634
"ED 3","Croatia",1996,"Stage 2","ahdi_int",0.407131842423577
"ED 3","Croatia",1997,"Stage 2","ahdi_int",0.43560032378952
"ED 3","Croatia",1998,"Stage 2","ahdi_int",0.464068805155464
"ED 3","Croatia",1999,"Stage 2","ahdi_int",0.492537286521407
"ED 3","Croatia",2000,"Stage 2","ahdi_int",0.52100576788735
"ED 3","Croatia",2001,"Stage 2","ahdi_int",0.528314644873338
"ED 3","Croatia",2002,"Stage 2","ahdi_int",0.535623521859327
"ED 3","Croatia",2003,"Stage 2","ahdi_int",0.542932398845315
"ED 3","Croatia",2004,"Stage 2","ahdi_int",0.550241275831304
"ED 3","Croatia",2005,"Stage 2","ahdi_int",0.557550152817292
"ED 3","Croatia",2006,"Stage 2","ahdi_int",0.567405165567093
"ED 3","Croatia",2007,"Stage 2","ahdi_int",0.577260178316894
"ED 3","Croatia",2008,"Stage 2","ahdi_int",0.587115191066695
"ED 3","Croatia",2009,"Stage 2","ahdi_int",0.596970203816496
"ED 3","Croatia",2010,"Stage 2","ahdi_int",0.606825216566297
"ED 3","Croatia",2011,"Stage 2","ahdi_int",0.607295997788237
"ED 3","Croatia",2012,"Stage 2","ahdi_int",0.607766779010177
"ED 3","Croatia",2013,"Stage 2","ahdi_int",0.608237560232118
