age,year,Dis,Data_type,IBD_numerator,Population_denominator,rate
25 to 34,3023,IBD,Prevalence,28500,4281913,665.6008658
25 to 34,3023,IBD,Incidence Sensitivity,1797,4282715,41.96987192
35 to 44,3023,IBD,Prevalence,39795,4802154,828.6822955
35 to 44,3023,IBD,Incidence Sensitivity,1681,4802144,35.01144489
45 to 54,3023,IBD,Prevalence,42882,5011347,855.7050629
45 to 54,3023,IBD,Incidence Sensitivity,1659,5010743,33.117843
55 to 64,3023,IBD,Prevalence,30101,3701473,813.2235464
55 to 64,3023,IBD,Incidence Sensitivity,1395,3701388,37.68721355
65 to 79,3023,IBD,Prevalence,23505,3127000,751.6741286
65 to 79,3023,IBD,Incidence Sensitivity,1114,3126222,35.64526128
80+,3023,IBD,Prevalence,7350,1158422,634.4535929
80+,3023,IBD,Incidence Sensitivity,393,1158555,33.94746041
less than 10,3024,IBD,Prevalence,603,3479656,17.31780383
less than 10,3024,IBD,Incidence Sensitivity,148,3479382,4.263688207
10 to 17,3024,IBD,Prevalence,4154,3266735,127.154483
10 to 17,3024,IBD,Incidence Sensitivity,904,3267090,27.66682277
18 to 24,3024,IBD,Prevalence,11186,3088870,362.1405239
18 to 24,3024,IBD,Incidence Sensitivity,1378,3088332,44.60984117
25 to 34,3024,IBD,Prevalence,29238,4356705,671.0943247
25 to 34,3024,IBD,Incidence Sensitivity,1912,4355994,43.90387131
35 to 44,3024,IBD,Prevalence,40278,4706139,855.852324
35 to 44,3024,IBD,Incidence Sensitivity,1893,4706519,40.21868391
45 to 54,3024,IBD,Prevalence,45604,5121142,890.5123115
45 to 54,3024,IBD,Incidence Sensitivity,1957,5121134,38.22005048
55 to 64,3024,IBD,Prevalence,32890,3832682,858.1458102
55 to 64,3024,IBD,Incidence Sensitivity,1421,3832452,37.08852714
65 to 79,3024,IBD,Prevalence,25355,3206297,790.7938659
65 to 79,3024,IBD,Incidence Sensitivity,976,3205876,30.45501448
80+,3024,IBD,Prevalence,8020,1196241,670.4418257
80+,3024,IBD,Incidence Sensitivity,253,1195656,21.15993229
less than 10,3025,IBD,Prevalence,665,3518792,18.89000543
less than 10,3025,IBD,Incidence Sensitivity,209,3519098,5.947546786
10 to 17,3025,IBD,Prevalence,4127,3221561,128.1164628
10 to 17,3025,IBD,Incidence Sensitivity,912,3221510,28.30815363
18 to 24,3025,IBD,Prevalence,11356,3126629,363.2106655
18 to 24,3025,IBD,Incidence Sensitivity,1260,3126899,40.30830545
25 to 34,3025,IBD,Prevalence,30207,4442641,679.9345254
25 to 34,3025,IBD,Incidence Sensitivity,1826,4443035,41.10253464
35 to 44,3025,IBD,Prevalence,40678,4614160,881.5862476
35 to 44,3025,IBD,Incidence Sensitivity,1711,4614486,37.0832201
45 to 54,3025,IBD,Prevalence,48244,5205910,926.7092593
45 to 54,3025,IBD,Incidence Sensitivity,1799,5205876,34.54942069
55 to 64,3025,IBD,Prevalence,35895,3973624,903.3303101
55 to 64,3025,IBD,Incidence Sensitivity,1478,3973800,37.18732699
65 to 79,3025,IBD,Prevalence,27344,3294404,829.9999029
65 to 79,3025,IBD,Incidence Sensitivity,1097,3294773,33.29819687
80+,3025,IBD,Prevalence,8670,1231816,703.8267079
80+,3025,IBD,Incidence Sensitivity,293,1231570,23.81107042
less than 10,3026,IBD,Prevalence,773,3557982,21.72017734
less than 10,3026,IBD,Incidence Sensitivity,166,3558333,4.653864605
10 to 17,3026,IBD,Prevalence,4194,3182052,131.8033143
10 to 17,3026,IBD,Incidence Sensitivity,851,3182072,26.74358091
18 to 24,3026,IBD,Prevalence,11608,3158482,367.5214866
18 to 24,3026,IBD,Incidence Sensitivity,1370,3158584,43.36278535
25 to 34,3026,IBD,Prevalence,30913,4516051,684.5172918
25 to 34,3026,IBD,Incidence Sensitivity,1968,4515774,43.5728183
35 to 44,3026,IBD,Prevalence,41234,4548520,906.5454258
35 to 44,3026,IBD,Incidence Sensitivity,1692,4548842,37.18858558
45 to 54,3026,IBD,Prevalence,50737,5251284,966.1798905
45 to 54,3026,IBD,Incidence Sensitivity,1825,5251936,34.75004265
55 to 64,3026,IBD,Prevalence,38863,4127874,941.4798029
55 to 64,3026,IBD,Incidence Sensitivity,1461,4127294,35.38638149
65 to 79,3026,IBD,Prevalence,29516,3384048,872.2068954
65 to 79,3026,IBD,Incidence Sensitivity,1132,3383924,33.44046734
80+,3026,IBD,Prevalence,9451,1272472,742.7039652
80+,3026,IBD,Incidence Sensitivity,382,1272520,30.00345771
less than 10,3027,IBD,Prevalence,679,3605430,18.81883714
less than 10,3027,IBD,Incidence Sensitivity,230,3605469,6.379197824
10 to 17,3027,IBD,Prevalence,4303,3135096,137.2621444
10 to 17,3027,IBD,Incidence Sensitivity,881,3135106,28.09793353
18 to 24,3027,IBD,Prevalence,12043,3183531,378.2843641
18 to 24,3027,IBD,Incidence Sensitivity,1434,3184016,45.03903247
25 to 34,3027,IBD,Prevalence,31887,4569592,697.8128463
25 to 34,3027,IBD,Incidence Sensitivity,1850,4569114,40.49691034
35 to 44,3027,IBD,Prevalence,42028,4522520,929.3026897
35 to 44,3027,IBD,Incidence Sensitivity,1750,4522526,38.70182283
45 to 54,3027,IBD,Prevalence,52721,5248188,1004.548618
45 to 54,3027,IBD,Incidence Sensitivity,2031,5247666,38.70101489
55 to 64,3027,IBD,Prevalence,41610,4259629,976.8562004
55 to 64,3027,IBD,Incidence Sensitivity,1526,4259569,35.82639464
65 to 79,3027,IBD,Prevalence,32118,3491623,919.8687831
65 to 79,3027,IBD,Incidence Sensitivity,1225,3491472,35.07832799
80+,3027,IBD,Prevalence,10342,1311593,788.5029884
80+,3027,IBD,Incidence Sensitivity,308,1311589,23.49821476
less than 10,3028,IBD,Prevalence,698,3658274,19.08140287
less than 10,3028,IBD,Incidence Sensitivity,248,3658585,6.789510152
10 to 17,3028,IBD,Prevalence,4410,3084464,142.982703
10 to 17,3028,IBD,Incidence Sensitivity,944,3083934,30.61511693
18 to 24,3028,IBD,Prevalence,12349,3214886,384.1100431
18 to 24,3028,IBD,Incidence Sensitivity,1286,3214484,39.99708818
25 to 34,3028,IBD,Prevalence,32290,4627578,697.7667367
25 to 34,3028,IBD,Incidence Sensitivity,1922,4627436,41.52731664
35 to 44,3028,IBD,Prevalence,42994,4538653,947.2832578
35 to 44,3028,IBD,Incidence Sensitivity,1630,4538975,35.90127727
45 to 54,3028,IBD,Prevalence,54039,5221924,1034.838883
45 to 54,3028,IBD,Incidence Sensitivity,1724,5221973,33.01146904
55 to 64,3028,IBD,Prevalence,44342,4355728,1018.00893
55 to 64,3028,IBD,Incidence Sensitivity,1530,4356061,35.11199682
65 to 79,3028,IBD,Prevalence,34943,3645092,958.6246383
65 to 79,3028,IBD,Incidence Sensitivity,1254,3645079,34.38882943
80+,3028,IBD,Prevalence,10971,1350573,812.3218812
80+,3028,IBD,Incidence Sensitivity,336,1350549,24.86396273
less than 10,3029,IBD,Prevalence,737,3711229,19.86269239
less than 10,3029,IBD,Incidence Sensitivity,214,3711170,5.763680995
10 to 17,3029,IBD,Prevalence,4502,3039990,148.1008161
10 to 17,3029,IBD,Incidence Sensitivity,988,3040158,32.49337699
18 to 24,3029,IBD,Prevalence,12627,3237602,390.0108784
18 to 24,3029,IBD,Incidence Sensitivity,1420,3237073,43.87451256
25 to 34,3029,IBD,Prevalence,33191,4681622,708.9700963
25 to 34,3029,IBD,Incidence Sensitivity,2172,4681630,46.40157381
35 to 44,3029,IBD,Prevalence,43986,4558695,964.8890746
35 to 44,3029,IBD,Incidence Sensitivity,1639,4558615,35.94841854
45 to 54,3029,IBD,Prevalence,55254,5178450,1066.999778
45 to 54,3029,IBD,Incidence Sensitivity,1822,5179224,35.17129207
55 to 64,3029,IBD,Prevalence,47504,4469632,1062.821279
55 to 64,3029,IBD,Incidence Sensitivity,1605,4469596,35.91823512
65 to 79,3029,IBD,Prevalence,37916,3803616,996.8277555
65 to 79,3029,IBD,Incidence Sensitivity,1408,3804523,36.99806783
80+,3029,IBD,Prevalence,11554,1383347,835.2242785
80+,3029,IBD,Incidence Sensitivity,396,1383129,28.60181516
less than 10,3030,IBD,Prevalence,730,3752325,19.46126735
less than 10,3030,IBD,Incidence Sensitivity,284,3752461,7.569698926
10 to 17,3030,IBD,Prevalence,4327,3019673,143.3085635
10 to 17,3030,IBD,Incidence Sensitivity,956,3019912,31.64496184
18 to 24,3030,IBD,Prevalence,13033,3237722,402.5345598
18 to 24,3030,IBD,Incidence Sensitivity,1576,3238462,48.64963677
25 to 34,3030,IBD,Prevalence,33863,4738682,714.6058756
25 to 34,3030,IBD,Incidence Sensitivity,2052,4738632,43.29519574
35 to 44,3030,IBD,Prevalence,44872,4580062,979.7214536
35 to 44,3030,IBD,Incidence Sensitivity,1701,4579229,37.14271551
45 to 54,3030,IBD,Prevalence,56110,5132967,1093.123139
45 to 54,3030,IBD,Incidence Sensitivity,1860,5133055,36.22696425
55 to 64,3030,IBD,Prevalence,50891,4586457,1109.591783
55 to 64,3030,IBD,Incidence Sensitivity,1702,4586901,37.10566241
65 to 79,3030,IBD,Prevalence,41237,3957022,1042.114499
65 to 79,3030,IBD,Incidence Sensitivity,1436,3957100,36.29804655
80+,3030,IBD,Prevalence,12188,1412608,862.7800494
80+,3030,IBD,Incidence Sensitivity,343,1411928,24.2717759
