country,name,year_data,decade,data_type,CD,UC,IBD,period,indust_status,labelled_stage
Canada,Manitoba,1998,1990-1999,Incidence,15.87,14.45,30.32,1990-2019,Early,stage3
Canada,Quebec,1998,1990-1999,Prevalence,202.6,,,1990-2019,Early,stage3
Canada,Quebec,1998,1990-1999,Incidence,20.6,,,1990-2019,Early,stage3
Canada,Nova Scotia,1998,1990-1999,Incidence,25.9,34.4,60.3,1990-2019,Early,stage3
Canada,British Columbia,1998,1990-1999,Prevalence,145.1391907,168.2726641,313.4118547,1990-2019,Early,stage3
Canada,Saskatchewan,1998,1990-1999,Prevalence,145.4873962,80.9850769,226.4724731,1990-2019,Early,stage3
Canada,Nova Scotia,1998,1990-1999,Prevalence,277.6075439,249.8473663,527.4549103,1990-2019,Early,stage3
Canada,British Columbia,1999,1990-1999,Incidence,8.8,9.9,18.7,1990-2019,Early,stage3
Canada,AB SK MB NS,1999,1990-1999,Incidence,16.3,12.9,29.2,1990-2019,Early,stage3
Canada,BC AB SK MB NS,1999,1990-1999,Incidence,13.4,11.8,25.2,1990-2019,Early,stage3
Canada,Manitoba,1999,1990-1999,Prevalence,244.1718735,220.32005,464.4919235,1990-2019,Early,stage3
Canada,Manitoba,1999,1990-1999,Incidence,11.485,14.125,25.61,1990-2019,Early,stage3
Canada,Quebec,1999,1990-1999,Incidence,20.3,,,1990-2019,Early,stage3
Canada,Quebec,1999,1990-1999,Prevalence,225,,,1990-2019,Early,stage3
Canada,Ontario,1999,1990-1999,Prevalence,175.5279053,169.3856589,344.9135643,1990-2019,Early,stage3
Canada,Ontario,1999,1990-1999,Incidence,9.517800416,11.72558243,21.24338285,1990-2019,Early,stage3
Canada,Nova Scotia,1999,1990-1999,Incidence,22.5,33.2,55.7,1990-2019,Early,stage3
Canada,Nova Scotia,1999,1990-1999,Prevalence,293.5429382,275.9667091,569.5096474,1990-2019,Early,stage3
Canada,British Columbia,1999,1990-1999,Prevalence,154.2691193,182.6232948,336.8924141,1990-2019,Early,stage3
Canada,Saskatchewan,1999,1990-1999,Prevalence,180.4837494,115.2261963,295.7099457,1990-2019,Early,stage3
Canada,Saskatchewan,1999,1990-1999,Incidence,37.38048,36.84263,74.22311,1990-2019,Early,stage3
Canada,Alberta,2000,2000-2009,Prevalence,283,185,468,1990-2019,Early,stage3
Canada,British Columbia,2000,2000-2009,Prevalence,162.0857635,179.0932606,341.1790241,1990-2019,Early,stage3
Canada,AB SK MB NS,2000,2000-2009,Prevalence,279.2,211.2,490.4,1990-2019,Early,stage3
Canada,Saskatchewan,2000,2000-2009,Prevalence,223.9982504,169.8447259,393.8429763,1990-2019,Early,stage3
Canada,Manitoba,2000,2000-2009,Prevalence,256.981427,235.7469218,492.7283488,1990-2019,Early,stage3
Canada,BC AB SK MB NS,2000,2000-2009,Prevalence,233.7,193.7,427.4,1990-2019,Early,stage3
Canada,Nova Scotia,2000,2000-2009,Prevalence,314.1986847,275.3599274,589.5586121,1990-2019,Early,stage3
Canada,Manitoba,2000,2000-2009,Incidence,13.86,14.535,28.395,1990-2019,Early,stage3
Canada,Quebec,2000,2000-2009,Incidence,19.8,,,1990-2019,Early,stage3
Canada,Quebec,2000,2000-2009,Prevalence,242.8,,,1990-2019,Early,stage3
Canada,Ontario,2000,2000-2009,Incidence,10,10.3,20.3,1990-2019,Early,stage3
Canada,Nova Scotia,2000,2000-2009,Incidence,23.1,33.9,57,1990-2019,Early,stage3
Canada,Ontario,2000,2000-2009,Prevalence,179.2449036,179.9900188,359.2349224,1990-2019,Early,stage3
Canada,Saskatchewan,2000,2000-2009,Incidence,27.96813,27.43028,55.39841,1990-2019,Early,stage3
Canada,Manitoba,2001,2000-2009,Prevalence,260.7994651,239.4017035,500.2011686,1990-2019,Early,stage3
Canada,Manitoba,2001,2000-2009,Incidence,13.71746731,12.24107311,25.95854042,1990-2019,Early,stage3
Canada,Quebec,2001,2000-2009,Prevalence,201.3281942,112.8225021,314.1506963,1990-2019,Early,stage3
Canada,Ontario,2001,2000-2009,Incidence,10.8,10.1,20.9,1990-2019,Early,stage3
Canada,Quebec,2001,2000-2009,Incidence,18.1,12.5,30.6,1990-2019,Early,stage3
Canada,Nova Scotia,2001,2000-2009,Incidence,22.8,29.7,52.5,1990-2019,Early,stage3
Canada,British Columbia,2001,2000-2009,Prevalence,172.6535339,209.5866508,382.2401848,1990-2019,Early,stage3
Canada,Saskatchewan,2001,2000-2009,Prevalence,232.3010221,162.7859218,395.0869439,1990-2019,Early,stage3
Canada,Ontario,2001,2000-2009,Prevalence,187.672226,189.9009342,377.5731602,1990-2019,Early,stage3
Canada,Nova Scotia,2001,2000-2009,Prevalence,325.9332275,325.2621918,651.1954193,1990-2019,Early,stage3
Canada,Saskatchewan,2001,2000-2009,Incidence,23.75498,24.11355,47.86853,1990-2019,Early,stage3
Canada,Quebec,2002,2000-2009,Prevalence,220.7853473,122.5942581,343.3796054,1990-2019,Early,stage3
Canada,Ontario,2002,2000-2009,Incidence,9.8,10.1,19.9,1990-2019,Early,stage3
Canada,Quebec,2002,2000-2009,Incidence,18.1,11,29.1,1990-2019,Early,stage3
Canada,Nova Scotia,2002,2000-2009,Incidence,23.4,29.7,53.1,1990-2019,Early,stage3
Canada,Alberta,2002,2000-2009,Prevalence,182.6446838,125.6926003,308.3372841,1990-2019,Early,stage3
Canada,British Columbia,2002,2000-2009,Prevalence,182.6347198,223.3326836,405.9674034,1990-2019,Early,stage3
Canada,Ontario,2002,2000-2009,Prevalence,195.8053436,199.2814674,395.0868111,1990-2019,Early,stage3
Canada,Manitoba,2002,2000-2009,Prevalence,252.8017426,241.7416077,494.5433502,1990-2019,Early,stage3
Canada,Saskatchewan,2002,2000-2009,Prevalence,254.2888476,183.5398833,437.8287309,1990-2019,Early,stage3
Canada,Nova Scotia,2002,2000-2009,Prevalence,343.0393066,343.9870529,687.0263596,1990-2019,Early,stage3
Canada,Manitoba,2002,2000-2009,Incidence,11.1,15.2,26.3,1990-2019,Early,stage3
Canada,Saskatchewan,2002,2000-2009,Incidence,19.63147,20.61753,40.249,1990-2019,Early,stage3
Canada,BC AB SK MB ON QC,2002,2000-2009,Prevalence,202.6243581,184.2552694,386.8796275,1990-2019,Early,stage3
Canada,Ontario,2003,2000-2009,Incidence,10,11,21,1990-2019,Early,stage3
Canada,Quebec,2003,2000-2009,Incidence,17.7,10.4,28.1,1990-2019,Early,stage3
Canada,Quebec,2003,2000-2009,Prevalence,205.6302795,131.5588776,337.1891571,1990-2019,Early,stage3
Canada,Nova Scotia,2003,2000-2009,Incidence,25.6,32.8,58.4,1990-2019,Early,stage3
Canada,British Columbia,2003,2000-2009,Prevalence,191.860321,233.2997761,425.1600971,1990-2019,Early,stage3
Canada,Ontario,2003,2000-2009,Prevalence,202.8889618,209.5907745,412.4797363,1990-2019,Early,stage3
Canada,Alberta,2003,2000-2009,Prevalence,211.0358582,157.8325157,368.8683739,1990-2019,Early,stage3
Canada,Nova Scotia,2003,2000-2009,Prevalence,359.7050171,367.7229309,727.427948,1990-2019,Early,stage3
Canada,Manitoba,2003,2000-2009,Prevalence,259.5671692,252.227417,511.7945862,1990-2019,Early,stage3
Canada,Saskatchewan,2003,2000-2009,Prevalence,270.9546583,198.6301288,469.5847871,1990-2019,Early,stage3
Canada,Manitoba,2003,2000-2009,Incidence,9.8,15,24.8,1990-2019,Early,stage3
Canada,Saskatchewan,2003,2000-2009,Incidence,18.28685,19.54183,37.82868,1990-2019,Early,stage3
Canada,BC AB SK MB ON QC,2003,2000-2009,Prevalence,215.1961409,196.9439613,412.1401022,1990-2019,Early,stage3
Canada,Ontario,2004,2000-2009,Incidence,10.3,10.2,20.5,1990-2019,Early,stage3
Canada,Quebec,2004,2000-2009,Incidence,17.8,9.3,27.1,1990-2019,Early,stage3
Canada,Quebec,2004,2000-2009,Prevalence,221.1509857,138.9519501,360.1029358,1990-2019,Early,stage3
Canada,Nova Scotia,2004,2000-2009,Incidence,19.4,29.8,49.2,1990-2019,Early,stage3
Canada,Alberta,2004,2000-2009,Prevalence,230.1682892,181.3246002,411.4928894,1990-2019,Early,stage3
Canada,British Columbia,2004,2000-2009,Prevalence,198.3699646,244.4673576,442.8373222,1990-2019,Early,stage3
Canada,Ontario,2004,2000-2009,Prevalence,210.7390747,219.0603313,429.7994061,1990-2019,Early,stage3
Canada,Nova Scotia,2004,2000-2009,Prevalence,370.0758362,386.6114883,756.6873245,1990-2019,Early,stage3
Canada,Manitoba,2004,2000-2009,Prevalence,262.8874817,259.6821289,522.5696106,1990-2019,Early,stage3
Canada,Saskatchewan,2004,2000-2009,Prevalence,288.468717,213.7817722,502.2504891,1990-2019,Early,stage3
Canada,Alberta,2004,2000-2009,Incidence,11.67856553,14.01057703,25.68914256,1990-2019,Early,stage3
Canada,Manitoba,2004,2000-2009,Incidence,10.5,13.5,24,1990-2019,Early,stage3
Canada,Saskatchewan,2004,2000-2009,Incidence,19.54183,15.68725,35.22908,1990-2019,Early,stage3
Canada,BC AB SK MB ON QC,2004,2000-2009,Prevalence,226.4697458,208.0738845,434.5436304,1990-2019,Early,stage3
Canada,Ontario,2005,2000-2009,Incidence,10.2,12,22.2,1990-2019,Early,stage3
Canada,Quebec,2005,2000-2009,Prevalence,236.4843445,145.6081573,382.0925018,1990-2019,Early,stage3
Canada,Quebec,2005,2000-2009,Incidence,16.9,9.3,26.2,1990-2019,Early,stage3
Canada,Nova Scotia,2005,2000-2009,Incidence,24,28.5,52.5,1990-2019,Early,stage3
Canada,AB MB ON NS,2005,2000-2009,Incidence,10.22961519,12.03291587,22.26253106,1990-2019,Early,stage3
Canada,British Columbia,2005,2000-2009,Prevalence,206.4401855,256.3629074,462.803093,1990-2019,Early,stage3
Canada,Saskatchewan,2005,2000-2009,Prevalence,302.0752855,225.1564602,527.2317457,1990-2019,Early,stage3
Canada,Alberta,2005,2000-2009,Prevalence,245.1014099,201.1471519,446.2485619,1990-2019,Early,stage3
Canada,Manitoba,2005,2000-2009,Prevalence,268.8788695,268.9911195,537.869989,1990-2019,Early,stage3
Canada,Nova Scotia,2005,2000-2009,Prevalence,384.6749878,405.2412033,789.9161911,1990-2019,Early,stage3
Canada,Ontario,2005,2000-2009,Prevalence,218.7566376,229.8552551,448.6118927,1990-2019,Early,stage3
Canada,Manitoba,2005,2000-2009,Incidence,11.7,12.3,24,1990-2019,Early,stage3
Canada,Saskatchewan,2005,2000-2009,Incidence,15.50797,15.1494,30.65737,1990-2019,Early,stage3
Canada,BC AB SK MB ON QC,2005,2000-2009,Prevalence,237.5259201,219.6560285,457.1819486,1990-2019,Early,stage3
Canada,Quebec,2006,2000-2009,Prevalence,250.6530548,152.4288834,403.0819382,1990-2019,Early,stage3
Canada,Ontario,2006,2000-2009,Incidence,10.7,10.9,21.6,1990-2019,Early,stage3
Canada,Quebec,2006,2000-2009,Incidence,16.9,9.4,26.3,1990-2019,Early,stage3
Canada,Nova Scotia,2006,2000-2009,Incidence,19.5,29.4,48.9,1990-2019,Early,stage3
Canada,British Columbia,2006,2000-2009,Prevalence,214.1868286,267.7983131,481.9851418,1990-2019,Early,stage3
Canada,Nova Scotia,2006,2000-2009,Prevalence,394.2648315,423.8749237,818.1397552,1990-2019,Early,stage3
Canada,Ontario,2006,2000-2009,Prevalence,226.8457642,241.8819809,468.7277451,1990-2019,Early,stage3
Canada,Alberta,2006,2000-2009,Prevalence,258.6538696,218.4558029,477.1096725,1990-2019,Early,stage3
Canada,Saskatchewan,2006,2000-2009,Prevalence,312.121837,234.5003104,546.6221474,1990-2019,Early,stage3
Canada,Manitoba,2006,2000-2009,Prevalence,273.9410095,273.0227661,546.9637756,1990-2019,Early,stage3
Canada,Manitoba,2006,2000-2009,Incidence,10.9,11.9,22.8,1990-2019,Early,stage3
Canada,Saskatchewan,2006,2000-2009,Incidence,14.7012,11.4741,26.1753,1990-2019,Early,stage3
Canada,BC AB SK MB ON QC,2006,2000-2009,Prevalence,247.8125273,230.5436229,478.3561502,1990-2019,Early,stage3
Canada,Ontario,2007,2000-2009,Incidence,10.9,12.1,23,1990-2019,Early,stage3
Canada,Quebec,2007,2000-2009,Incidence,16.9,9.3,26.2,1990-2019,Early,stage3
Canada,Quebec,2007,2000-2009,Prevalence,263.8745667,158.7698975,422.6444641,1990-2019,Early,stage3
Canada,Nova Scotia,2007,2000-2009,Incidence,19.7,25.4,45.1,1990-2019,Early,stage3
Canada,Saskatchewan,2007,2000-2009,Prevalence,321.7116587,242.6765193,564.3881781,1990-2019,Early,stage3
Canada,British Columbia,2007,2000-2009,Prevalence,221.9601135,278.5758591,500.5359726,1990-2019,Early,stage3
Canada,Alberta,2007,2000-2009,Prevalence,271.3339844,232.5605621,503.8945465,1990-2019,Early,stage3
Canada,Nova Scotia,2007,2000-2009,Prevalence,404.8182678,438.4839935,843.3022614,1990-2019,Early,stage3
Canada,Ontario,2007,2000-2009,Prevalence,234.4576111,252.5015707,486.9591818,1990-2019,Early,stage3
Canada,Manitoba,2007,2000-2009,Prevalence,278.8543396,279.8016357,558.6559753,1990-2019,Early,stage3
Canada,Manitoba,2007,2000-2009,Incidence,10.4,11.9,22.3,1990-2019,Early,stage3
Canada,Saskatchewan,2007,2000-2009,Incidence,13.44622,12.5498,25.99602,1990-2019,Early,stage3
Canada,BC AB SK MB ON QC,2007,2000-2009,Prevalence,257.7667128,240.6821151,498.4488279,1990-2019,Early,stage3
Canada,BC AB SK MB ON QC,2007,2000-2009,Incidence,12.90447124,13.66010615,26.56457739,1990-2019,Early,stage3
Canada,Ontario,2008,2000-2009,Incidence,12.15228032,14.08345665,26.23573697,1990-2019,Early,stage3
Canada,Ontario,2008,2000-2009,Prevalence,248.8512055,261.3331285,510.184334,1990-2019,Early,stage3
Canada,Quebec,2008,2000-2009,Incidence,16.8,9.8,26.6,1990-2019,Early,stage3
Canada,Quebec,2008,2000-2009,Prevalence,277.7166229,165.868634,443.585257,1990-2019,Early,stage3
Canada,Nova Scotia,2008,2000-2009,Incidence,18.2,31.9,50.1,1990-2019,Early,stage3
Canada,Alberta,2008,2000-2009,Prevalence,282.3650513,247.1134644,529.4785156,1990-2019,Early,stage3
Canada,British Columbia,2008,2000-2009,Prevalence,228.0127563,287.6321831,515.6449394,1990-2019,Early,stage3
Canada,Saskatchewan,2008,2000-2009,Prevalence,326.6726348,249.7197098,576.3923446,1990-2019,Early,stage3
Canada,Nova Scotia,2008,2000-2009,Prevalence,412.4975586,457.6266937,870.1242523,1990-2019,Early,stage3
Canada,BC AB SK MB ON NS,2008,2000-2009,Prevalence,263,226,489,1990-2019,Early,stage3
Canada,Manitoba,2008,2000-2009,Prevalence,282.6553345,284.6604614,567.3157959,1990-2019,Early,stage3
Canada,Manitoba,2008,2000-2009,Incidence,9.1,13,22.1,1990-2019,Early,stage3
Canada,Saskatchewan,2008,2000-2009,Incidence,16.49402,14.7012,31.19522,1990-2019,Early,stage3
Canada,BC AB SK MB ON QC,2008,2000-2009,Prevalence,267.5758259,251.3940693,518.9698951,1990-2019,Early,stage3
Canada,BC AB SK MB ON QC,2008,2000-2009,Incidence,13.30856236,14.43060223,27.73916459,1990-2019,Early,stage3
Canada,Nova Scotia,2009,2000-2009,Incidence,17.7,28,45.7,1990-2019,Early,stage3
Canada,British Columbia,2009,2000-2009,Prevalence,234.7607422,298.8196602,533.5804024,1990-2019,Early,stage3
Canada,Alberta,2009,2000-2009,Prevalence,290.9320984,259.1756439,550.1077423,1990-2019,Early,stage3
Canada,Saskatchewan,2009,2000-2009,Prevalence,332.6326189,256.2378724,588.8704914,1990-2019,Early,stage3
Canada,Nova Scotia,2009,2000-2009,Prevalence,420.9495239,474.7530212,895.7025452,1990-2019,Early,stage3
Canada,Manitoba,2009,2000-2009,Prevalence,286.3846741,290.4896851,576.8743591,1990-2019,Early,stage3
Canada,Ontario,2009,2000-2009,Prevalence,252.5125732,275.6693497,528.1819229,1990-2019,Early,stage3
Canada,Manitoba,2009,2000-2009,Incidence,10.4,12.9,23.3,1990-2019,Early,stage3
Canada,Saskatchewan,2009,2000-2009,Incidence,13.08765,10.39841,23.48606,1990-2019,Early,stage3
Canada,BC AB SK MB ON QC,2009,2000-2009,Incidence,13.26324103,14.53467975,27.79792078,1990-2019,Early,stage3
Canada,BC AB SK MB ON QC,2009,2000-2009,Prevalence,277.4547745,262.1933462,539.6481206,1990-2019,Early,stage3
Canada,Saskatchewan,2010,2010-2019,Prevalence,337.0003566,261.891975,598.8923316,1990-2019,Early,stage3
Canada,Alberta,2010,2010-2019,Prevalence,297.559967,273.7021027,571.2620697,1990-2019,Early,stage3
Canada,British Columbia,2010,2010-2019,Prevalence,242.7383423,309.9651222,552.7034645,1990-2019,Early,stage3
Canada,Manitoba,2010,2010-2019,Prevalence,283.3385011,298.4558316,581.7943326,1990-2019,Early,stage3
Canada,Ontario,2010,2010-2019,Prevalence,261.2189941,286.9203148,548.1393089,1990-2019,Early,stage3
Canada,Manitoba,2010,2010-2019,Incidence,8.3,12.1,20.4,1990-2019,Early,stage3
Canada,Saskatchewan,2010,2010-2019,Incidence,12.37052,12.10159,24.47211,1990-2019,Early,stage3
Canada,BC AB SK MB ON QC,2010,2010-2019,Prevalence,286.3869565,272.9536284,559.3405848,1990-2019,Early,stage3
Canada,BC AB SK MB ON QC,2010,2010-2019,Incidence,12.81158741,14.69488472,27.50647213,1990-2019,Early,stage3
Canada,Saskatchewan,2011,2010-2019,Prevalence,342.9741917,266.3531879,609.3273795,1990-2019,Early,stage3
Canada,Alberta,2011,2010-2019,Prevalence,307.3691406,285.2293243,592.598465,1990-2019,Early,stage3
Canada,Manitoba,2011,2010-2019,Prevalence,288.5527039,301.0349121,589.587616,1990-2019,Early,stage3
Canada,British Columbia,2011,2010-2019,Prevalence,251.1006165,321.9992256,573.0998421,1990-2019,Early,stage3
Canada,Ontario,2011,2010-2019,Prevalence,268.6940918,299.1298141,567.8239059,1990-2019,Early,stage3
Canada,Manitoba,2011,2010-2019,Incidence,10.2,11.3,21.5,1990-2019,Early,stage3
Canada,Saskatchewan,2011,2010-2019,Incidence,15.68725,10.66733,26.35458,1990-2019,Early,stage3
Canada,BC AB SK MB ON QC,2011,2010-2019,Prevalence,296.3149082,284.1234405,580.4383488,1990-2019,Early,stage3
Canada,BC AB SK MB ON QC,2011,2010-2019,Incidence,13.5191862,14.92984649,28.44903269,1990-2019,Early,stage3
Canada,Manitoba,2012,2010-2019,Prevalence,289.5932007,301.5715942,591.1647949,1990-2019,Early,stage3
Canada,Saskatchewan,2012,2010-2019,Prevalence,348.0876031,267.9114379,615.999041,1990-2019,Early,stage3
Canada,British Columbia,2012,2010-2019,Prevalence,257.2469482,332.9611511,590.2080994,1990-2019,Early,stage3
Canada,Alberta,2012,2010-2019,Prevalence,312.9906006,295.9310303,608.9216309,1990-2019,Early,stage3
Canada,Ontario,2012,2010-2019,Prevalence,274.9253235,308.5882702,583.5135937,1990-2019,Early,stage3
Canada,Manitoba,2012,2010-2019,Incidence,7.6,8.9,16.5,1990-2019,Early,stage3
Canada,Saskatchewan,2012,2010-2019,Incidence,13.44622,11.56375,25.00997,1990-2019,Early,stage3
Canada,BC AB SK MB ON QC,2012,2010-2019,Incidence,12.43146228,14.87776936,27.30923164,1990-2019,Early,stage3
Canada,BC AB SK MB ON QC,2012,2010-2019,Prevalence,304.2702374,293.9841647,598.2544021,1990-2019,Early,stage3
Canada,Saskatchewan,2013,2010-2019,Prevalence,352.2884741,272.0127566,624.3012307,1990-2019,Early,stage3
Canada,Manitoba,2013,2010-2019,Prevalence,286.1927185,299.7421875,585.934906,1990-2019,Early,stage3
Canada,Ontario,2013,2010-2019,Prevalence,279.1873169,316.5400734,595.7273903,1990-2019,Early,stage3
Canada,Alberta,2013,2010-2019,Prevalence,315.6525269,306.2511292,621.903656,1990-2019,Early,stage3
Canada,British Columbia,2013,2010-2019,Prevalence,263.3882446,340.1379433,603.5261879,1990-2019,Early,stage3
Canada,Manitoba,2013,2010-2019,Incidence,,,,1990-2019,Early,stage3
Canada,Saskatchewan,2013,2010-2019,Incidence,12.10159,11.11554,23.21713,1990-2019,Early,stage3
Canada,BC AB SK MB ON QC,2013,2010-2019,Prevalence,312.571009,304.9335823,617.5045913,1990-2019,Early,stage3
Canada,BC AB SK MB ON QC,2013,2010-2019,Incidence,12.77986496,15.45116046,28.23102542,1990-2019,Early,stage3
